id,created_at,bar_start,timeframe,slug,meta_timeframe,meta_checkpoint_minute,meta_bar_start_utc,meta_minutes_remaining,meta_data_age_s,meta_feeds_healthy_binance_spot,meta_feeds_healthy_binance_perp,meta_feeds_healthy_coinbase,meta_feeds_healthy_polymarket,meta_feeds_healthy_liq_stream,candle_state_open,candle_state_last,candle_state_high,candle_state_low,candle_state_cushion_usd,candle_state_cushion_sign,candle_state_cushion_atr1m,candle_state_expected_remaining_move_usd,candle_state_reachability_ratio,candle_state_high_low_position,candle_state_time_above_open_pct,candle_state_max_adverse_excursion_usd,flaa_depth_flip_path_usd,flaa_depth_continuation_usd,flaa_path_asymmetry_ratio,flaa_flip_path_consumed_180s_usd,flaa_flip_path_replenish_ratio,flaa_iceberg_refill_count,flaa_est_flow_to_flip_usd,flaa_flow_to_flip_minutes_at_current_rate,flaa_defended,tape_cvd_candle_usd,tape_cvd_delta_1m,tape_cvd_delta_3m,tape_cvd_slope_r2,tape_cvd_trajectory,tape_sweep_events_3m_buy_sweeps,tape_sweep_events_3m_sell_sweeps,tape_sweep_events_3m_largest_sweep_usd,tape_sweep_events_3m_largest_sweep_side,tape_sweep_events_3m_sweep_price_impact_bps,tape_efficiency_3m,tape_absorption_flag,tape_absorption_side,tape_absorption_strength,tape_large_print_net_3m_usd,perp_spot_divergence_basis_usd_now,perp_spot_divergence_basis_delta_3m,perp_spot_divergence_perp_cvd_minus_spot_cvd_5m_usd,perp_spot_divergence_leader_venue_3m,perp_spot_divergence_oi_delta_candle_pct,perp_spot_divergence_oi_price_regime,perp_spot_divergence_funding_rate,liquidations_nearest_liq_cluster_above_usd,liquidations_nearest_liq_cluster_below_usd,cross_venue_coinbase_premium_usd,cross_venue_coinbase_premium_slope_3m,cross_venue_venue_cvd_agreement,cross_venue_us_spot_leading,htf_context_trend_1h_dir,htf_context_trend_1h_adx,htf_context_trend_1h_price_vs_ema50,htf_context_vwap_stack_above_session_vwap,htf_context_vwap_stack_above_24h_vwap,htf_context_vwap_stack_vwap_compression,htf_context_key_levels_nearest_above_type,htf_context_key_levels_nearest_above_dist_usd,htf_context_key_levels_nearest_below_type,htf_context_key_levels_nearest_below_dist_usd,htf_context_key_levels_inside_value_area,polymarket_implied_prob_up,polymarket_implied_prob_5m_ago,polymarket_prob_momentum_5m,polymarket_yes_book_best_bid,polymarket_yes_book_best_ask,polymarket_yes_book_depth_usd_2c,polymarket_sharp_flow_flag,polymarket_model_vs_market_edge,empirical_prior_lookback_days,empirical_prior_bucket,empirical_prior_hold_rate,empirical_prior_n_samples,empirical_prior_hold_rate_minute11_same_bucket,empirical_prior_bucket_computed_at,ensemble_p_up,ensemble_conviction_tier,ensemble_tier_definition_high,ensemble_tier_definition_med,ensemble_tier_definition_low,ensemble_signal_agreement_count,ensemble_disagreement_index,ensemble_dominant_factors,ensemble_polymarket_edge_pct,outcome,,,,,,x
5817055d-a37a-4571-a834-0eec2c80dcb9,2026-06-16 18:41:00.535021+00,2026-06-16 18:30:00 UTC,15m,btc-updown-15m-1781634600,15m,11,2026-06-16 18:30:00 UTC,4,0.6,TRUE,TRUE,TRUE,TRUE,FALSE,65910,65822,65970,65802,88,-1,2.302,76,1.151,0.119,0.406,-60,31700724,21307072,1.488,0,0,0,39625905,99,FALSE,197759,-369731,-30624,0.109,flat,2,1,157919,sell,1.08,4.252,FALSE,,0,-157104,-24.14,7.81,-2236515,none,-0.089,long_liquidation,0.00005012,65850,65500,-61.16,4.863,0,FALSE,down,20.48,-0.033,FALSE,FALSE,0.033,round_66000,178,poc_4h,84.5,FALSE,0.085,0.405,-0.32,0.08,0.09,12,,-3.5,30,cushion_>1.5atr__cvd3m_flat__min11,0.9032,414,,1.78E+12,0.05,HIGH,>=0.72 or <=0.28,0.60-0.72,<0.60,6_of_8,0.25,"[""candle_cushion"",""polymarket_momentum"",""flaa_asymmetry""]",-3.5,down,,,,,,
772985bb-450c-4024-9a2c-7357eccd4a2a,2026-06-16 18:36:00.469437+00,2026-06-16 18:30:00 UTC,15m,btc-updown-15m-1781634600,15m,6,2026-06-16 18:30:00 UTC,9,1,TRUE,TRUE,TRUE,TRUE,FALSE,65910,65895.77,65970,65886,14,-1,0.372,115,0.124,0.116,0.77,-60,4017923,817529,4.915,0,0,0,5022404,12.635,FALSE,780540,209965,388287,0.938,rising,3,1,175750,buy,0.6,5.812,FALSE,,0,174649,-29.91,-2.06,-364870,none,-0.015,neutral,0.00005098,66150,65850,-60.13,2.043,0,FALSE,up,20.48,0.146,FALSE,FALSE,0.033,round_66000,104.23,poc_4h,158.27,TRUE,0.425,0.505,-0.08,0.42,0.43,630,,-6.3,30,cushion_<0.5atr__cvd3m_diverging__min6,0.5051,170,0.5438,1.78E+12,0.3624,MED,>=0.72 or <=0.28,0.60-0.72,<0.60,5_of_8,0.38,"[""flaa_asymmetry"",""polymarket_momentum"",""tape_rising""]",-6.3,down,,,,,,
9b11a562-1eec-4f0b-8eea-df85231ba4b2,2026-06-16 18:31:00.533081+00,2026-06-16 18:30:00 UTC,15m,btc-updown-15m-1781634600,15m,1,2026-06-16 18:30:00 UTC,14,0.3,TRUE,TRUE,TRUE,TRUE,FALSE,65910,65910,65929.72,65897.86,0,0,0,149,0,0.381,0.773,-20,,,,,,,,,,26658,26658,-35667,,,0,1,189879,sell,0.02,23.073,FALSE,,0,-189858,-25.24,1.6,2909554,none,0.009,neutral,0.00005055,66150,65850,-58.23,0.346,0,FALSE,up,20.48,0.181,FALSE,FALSE,0.033,round_66000,90,poc_4h,172.5,TRUE,0.505,,,0.5,0.51,807,,-6.3,30,cushion_<0.5atr__cvd3m_flat__min1,0.5465,287,0.5305,1.78E+12,0.442,LOW,>=0.72 or <=0.28,0.60-0.72,<0.60,1_of_6,0.83,"[""tape_sweeps"",""perp_basis"",""htf_trend""]",-6.3,down,,,,,,
b255cdab-82ae-41a3-b7ee-3ed327e06420,2026-06-16 18:26:00.537857+00,2026-06-16 18:15:00 UTC,15m,btc-updown-15m-1781633700,15m,11,2026-06-16 18:15:00 UTC,4,0.3,TRUE,TRUE,TRUE,TRUE,FALSE,66136.83,65900.01,66136.84,65898,237,-1,5.557,85,2.778,0.008,0.002,0,67187292,68556030,0.98,0,0,0,83984115,99,FALSE,274331,-43831,-199067,0.524,accelerating_positive,1,2,474961,sell,1.4,17.672,FALSE,,0,-7208,-29.96,-0.27,-13689223,none,-0.1,long_liquidation,0.00005133,66150,65850,-62.14,-1.667,0,FALSE,up,20.48,0.156,FALSE,FALSE,0.034,round_66000,99.99,poc_4h,162.51,TRUE,0.0055,0.075,-0.0695,0.003,0.008,128,FALSE,4.5,30,cushion_>1.5atr__cvd3m_confirming__min11,0.9437,997,,1.78E+12,0.05,HIGH,>=0.72 or <=0.28,0.60-0.72,<0.60,4_of_8,0.5,"[""candle_cushion"",""perp_long_liquidation"",""polymarket_momentum""]",4.5,down,,,,,,
32277fd2-59c0-4397-8986-b733b8b7b93b,2026-06-16 18:21:00.54192+00,2026-06-16 18:15:00 UTC,15m,btc-updown-15m-1781633700,15m,6,2026-06-16 18:15:00 UTC,9,0.6,TRUE,TRUE,TRUE,TRUE,FALSE,66136.83,65982.01,66136.84,65982,155,-1,3.189,146,1.063,0,0.004,0,51472974,44040028,1.169,0,0,0,64341218,99,FALSE,-567169,-283988,52039,0,flattening_negative,2,3,130561,buy,1.62,105.693,FALSE,,0,-3748,-28.15,-1.11,-9736106,none,-0.017,neutral,0.00005243,66150,65850,-58.61,-0.688,1,FALSE,up,20.48,0.355,FALSE,FALSE,0.033,round_66000,17.99,poc_4h,244.51,TRUE,0.075,0.255,-0.18,0.07,0.08,156,FALSE,4.7,30,cushion_>1.5atr__cvd3m_flat__min6,0.7707,313,0.9032,1.78E+12,0.122,HIGH,>=0.72 or <=0.28,0.60-0.72,<0.60,6_of_8,0.25,"[""candle_cushion"",""polymarket_momentum"",""empirical_prior""]",4.7,down,,,,,,
a75380d3-f1b7-4ade-9357-99897aaf2ecc,2026-06-16 18:16:00.556793+00,2026-06-16 18:15:00 UTC,15m,btc-updown-15m-1781633700,15m,1,2026-06-16 18:15:00 UTC,14,0.5,TRUE,TRUE,TRUE,TRUE,FALSE,66136.83,66048.92,66136.84,66048.92,88,-1,1.937,170,0.518,0,0.022,0,30420941,23221602,1.31,0,0,0,38026176,99,FALSE,-868021,-868021,-638594,,,2,3,597074,sell,1.36,5.774,FALSE,,0,-168541,-25.77,3.34,-1103850,none,-0.001,neutral,0.0000515,66150,65850,-62.91,-1.752,0,FALSE,up,20.48,0.517,FALSE,FALSE,0.033,prior_day_low,27.64,round_66000,48.92,TRUE,0.235,,,0.23,0.24,407,,2.6,30,cushion_>1.5atr__cvd3m_confirming__min1,0.7022,289,0.9437,1.78E+12,0.2606,HIGH,>=0.72 or <=0.28,0.60-0.72,<0.60,4_of_7,0.43,"[""candle_cushion"",""flaa_asymmetry"",""perp_basis""]",2.6,down,,,,,,
81d879b5-1082-49ba-9f54-8c9bfbb1ddd6,2026-06-16 18:11:00.608665+00,2026-06-16 18:00:00 UTC,15m,btc-updown-15m-1781632800,15m,11,2026-06-16 18:00:00 UTC,4,0.5,TRUE,TRUE,TRUE,TRUE,FALSE,65978.79,66087.53,66248.69,65951.35,109,1,2.308,94,1.154,0.458,0.834,-27,28981926,39010928,0.743,0,0,0,36227408,99,FALSE,1553888,145891,219591,0.556,flattening_positive,0,0,,,,1.947,FALSE,,0,0,-29.27,-3.73,-329649,none,-0.086,short_covering,0.00005053,66150,65850,-62.87,-6.085,1,FALSE,up,20.48,0.611,FALSE,FALSE,0.035,session_vwap,49.15,prior_day_low,10.97,TRUE,0.965,0.855,0.11,0.96,0.97,3298,,-1.5,30,cushion_>1.5atr__cvd3m_confirming__min11,0.9437,996,,1.78E+12,0.95,HIGH,>=0.72 or <=0.28,0.60-0.72,<0.60,7_of_8,0.12,"[""candle_cushion"",""polymarket_momentum"",""empirical_prior""]",-1.5,up,,,,,,
100b7320-2239-4850-8674-971716033957,2026-06-16 18:06:00.492369+00,2026-06-16 18:00:00 UTC,15m,btc-updown-15m-1781632800,15m,6,2026-06-16 18:00:00 UTC,9,0.5,TRUE,TRUE,TRUE,TRUE,FALSE,65978.79,66106.65,66248.69,65951.35,128,1,2.329,165,0.776,0.522,0.714,-27,34377016,50653871,0.679,0,0,0,42971270,99,FALSE,1117541,-290241,2548,0.655,flattening_positive,2,5,392247,buy,1.68,215.731,FALSE,,0,338101,-24.8,-1.47,30769658,none,-0.122,short_covering,0.00005016,66150,65850,-57.92,1.84,0,FALSE,up,20.48,0.657,FALSE,FALSE,0.035,session_vwap,30.09,prior_day_low,30.09,TRUE,0.855,0.425,0.43,0.85,0.86,1308,,0.6,30,cushion_>1.5atr__cvd3m_flat__min6,0.77,312,0.9011,1.78E+12,0.8614,HIGH,>=0.72 or <=0.28,0.60-0.72,<0.60,5_of_8,0.38,"[""polymarket_momentum"",""candle_cushion"",""flaa_asymmetry""]",0.6,up,,,,,,
31d5394d-42d2-48dc-8c69-60a29a258ab6,2026-06-16 18:01:00.516033+00,2026-06-16 18:00:00 UTC,15m,btc-updown-15m-1781632800,15m,1,2026-06-16 18:00:00 UTC,14,0.5,TRUE,TRUE,TRUE,TRUE,FALSE,65978.79,65960,65978.79,65954.29,19,-1,0.491,143,0.131,0.233,0,0,5350733,1533287,3.49,0,0,0,6688416,1.126,FALSE,-20245,-20245,1737182,,,3,3,60341,sell,1.94,1.816,FALSE,,0,320700,-27.74,-0.4,12089877,none,-0.001,neutral,0.00004645,66150,65850,-59.15,0.455,1,FALSE,up,20.913,0.309,FALSE,FALSE,0.035,round_66000,40,poc_4h,222.5,TRUE,0.445,,,0.44,0.45,300,,-10.8,30,cushion_<0.5atr__cvd3m_diverging__min1,0.5377,346,0.5438,1.78E+12,0.3366,MED,>=0.72 or <=0.28,0.60-0.72,<0.60,4_of_7,0.43,"[""flaa_asymmetry"",""perp_basis"",""htf_trend""]",-10.8,up,,,,,,
cb0bac93-5bf8-49ba-96bb-680a5e3381d5,2026-06-16 17:56:00.526847+00,2026-06-16 17:45:00 UTC,15m,btc-updown-15m-1781631900,15m,11,2026-06-16 17:45:00 UTC,4,1.5,TRUE,TRUE,TRUE,TRUE,FALSE,65750.92,65948.01,66011.47,65740,197,1,5.025,78,2.512,0.766,0.975,-11,55681101,73011521,0.763,0,0,0,69601376,29.51,FALSE,3766604,162219,-13065,0.95,accelerating_positive,1,3,37350,sell,0.28,322.623,FALSE,,0,106542,-35.66,-12.25,-2897195,none,-0.037,short_covering,0.00004602,66150,65850,-59.02,-2.907,-1,FALSE,up,20.913,0.281,FALSE,FALSE,0.036,round_66000,51.99,poc_4h,210.51,TRUE,0.994,0.955,0.039,0.991,0.997,11729,,-5.3,30,cushion_>1.5atr__cvd3m_flat__min11,0.9009,414,,1.78E+12,0.9414,HIGH,>=0.72 or <=0.28,0.60-0.72,<0.60,6_of_8,0.25,"[""candle_cushion"",""empirical_prior"",""polymarket_momentum""]",-5.3,up,,,,,,
