slug,outcome
btc-updown-15m-1781529300,up
btc-updown-15m-1781574300,down
btc-updown-15m-1781626500,up
btc-updown-15m-1781625600,down
btc-updown-15m-1781565300,down
btc-updown-15m-1781617500,down
btc-updown-15m-1781549100,down
btc-updown-15m-1781563500,down
btc-updown-15m-1781552700,down
btc-updown-15m-1781538300,up
btc-updown-15m-1781632800,up
btc-updown-15m-1781576100,down
btc-updown-15m-1781536500,up
btc-updown-15m-1781631000,up
btc-updown-15m-1781570700,down
btc-updown-15m-1781613000,down
btc-updown-15m-1781534700,up
btc-updown-15m-1781573400,down
btc-updown-15m-1781540100,down
btc-updown-15m-1781619300,down
btc-updown-15m-1781630100,down
btc-updown-15m-1781572500,up
btc-updown-15m-1781564400,up
btc-updown-15m-1781557200,down
btc-updown-15m-1781546400,down
btc-updown-15m-1781532900,up
btc-updown-15m-1781613900,down
btc-updown-15m-1781533800,down
btc-updown-15m-1781542800,down
btc-updown-15m-1781541900,down
btc-updown-15m-1781577900,down
btc-updown-15m-1781566200,up
btc-updown-15m-1781615700,down
btc-updown-15m-1781539200,down
btc-updown-15m-1781554500,up
btc-updown-15m-1781627400,up
btc-updown-15m-1781611200,up
btc-updown-15m-1781550000,up
btc-updown-15m-1781543700,down
btc-updown-15m-1781547300,up
btc-updown-15m-1781569800,up
btc-updown-15m-1781535600,up
btc-updown-15m-1781633700,down
btc-updown-15m-1781628300,down
btc-updown-15m-1781631900,up
btc-updown-15m-1781575200,down
btc-updown-15m-1781618400,down
btc-updown-15m-1781571600,up
btc-updown-15m-1781623800,up
btc-updown-15m-1781553600,down
btc-updown-15m-1781558100,down
btc-updown-15m-1781629200,up
btc-updown-15m-1781577000,up
btc-updown-15m-1781562600,up
btc-updown-15m-1781616600,up
btc-updown-15m-1781622000,up
btc-updown-15m-1781620200,up
btc-updown-15m-1781548200,down
btc-updown-15m-1781541000,down
btc-updown-15m-1781634600,down
btc-updown-15m-1781551800,up
btc-updown-15m-1781544600,up
btc-updown-15m-1781537400,up
btc-updown-15m-1781614800,down
btc-updown-15m-1781556300,down
btc-updown-15m-1781621100,down
btc-updown-15m-1781550900,down
btc-updown-15m-1781624700,up
btc-updown-15m-1781561700,down
btc-updown-15m-1781531100,down
btc-updown-15m-1781612100,up
btc-updown-15m-1781555400,up
btc-updown-15m-1781560800,down
btc-updown-15m-1781567100,up
btc-updown-15m-1781530200,down
btc-updown-15m-1781559900,down
btc-updown-15m-1781545500,down
btc-updown-15m-1781622900,down
btc-updown-15m-1781559000,up
btc-updown-15m-1781532000,down
