start_utc,end_utc,asset,interval,collection_mode,notes
2026-07-05T19:20:00Z,2026-07-05T19:40:00Z,BTC,5m,continuous,4 bar(s)
2026-07-05T20:05:00Z,2026-07-05T20:10:00Z,BTC,5m,isolated,1 bar(s)
2026-07-05T20:15:00Z,2026-07-05T20:20:00Z,BTC,5m,isolated,1 bar(s)
2026-07-05T20:30:00Z,2026-07-05T20:45:00Z,BTC,5m,continuous,3 bar(s)
2026-07-06T13:35:00Z,2026-07-06T14:05:00Z,BTC,5m,continuous,6 bar(s)
2026-07-06T14:10:00Z,2026-07-06T14:35:00Z,BTC,5m,continuous,5 bar(s)
2026-07-06T19:35:00Z,2026-07-06T19:55:00Z,BTC,5m,continuous,4 bar(s)
2026-07-06T20:00:00Z,2026-07-06T20:05:00Z,BTC,5m,isolated,1 bar(s)
2026-07-06T20:10:00Z,2026-07-06T20:35:00Z,BTC,5m,continuous,5 bar(s)
2026-07-06T20:40:00Z,2026-07-06T21:05:00Z,BTC,5m,continuous,5 bar(s)
2026-07-06T21:50:00Z,2026-07-06T21:55:00Z,BTC,5m,isolated,1 bar(s)
2026-07-06T22:55:00Z,2026-07-06T23:00:00Z,BTC,5m,isolated,1 bar(s)
2026-07-06T23:05:00Z,2026-07-06T23:10:00Z,BTC,5m,isolated,1 bar(s)
2026-07-06T23:15:00Z,2026-07-06T23:50:00Z,BTC,5m,continuous,7 bar(s)
2026-07-07T00:35:00Z,2026-07-07T00:40:00Z,BTC,5m,isolated,1 bar(s)
2026-07-07T00:45:00Z,2026-07-07T02:20:00Z,BTC,5m,continuous,19 bar(s)
2026-07-07T10:10:00Z,2026-07-07T10:40:00Z,BTC,5m,continuous,6 bar(s)
2026-07-07T12:50:00Z,2026-07-07T13:45:00Z,BTC,5m,continuous,11 bar(s)
2026-07-07T13:50:00Z,2026-07-07T13:55:00Z,BTC,5m,isolated,1 bar(s)
2026-07-07T14:00:00Z,2026-07-07T14:05:00Z,BTC,5m,isolated,1 bar(s)
2026-07-07T20:25:00Z,2026-07-07T20:40:00Z,BTC,5m,continuous,3 bar(s)
2026-07-07T20:55:00Z,2026-07-07T21:30:00Z,BTC,5m,continuous,7 bar(s)
2026-07-07T22:35:00Z,2026-07-07T22:55:00Z,BTC,5m,continuous,4 bar(s)
2026-07-07T23:05:00Z,2026-07-07T23:25:00Z,BTC,5m,continuous,4 bar(s)
2026-07-07T23:30:00Z,2026-07-07T23:35:00Z,BTC,5m,isolated,1 bar(s)
2026-07-07T23:40:00Z,2026-07-08T00:05:00Z,BTC,5m,continuous,5 bar(s)
2026-07-08T00:35:00Z,2026-07-08T00:55:00Z,BTC,5m,continuous,4 bar(s)
2026-07-08T01:00:00Z,2026-07-08T02:15:00Z,BTC,5m,continuous,15 bar(s)
2026-07-08T02:40:00Z,2026-07-08T04:15:00Z,BTC,5m,continuous,19 bar(s)
2026-07-08T04:55:00Z,2026-07-08T05:40:00Z,BTC,5m,continuous,9 bar(s)
2026-07-08T06:15:00Z,2026-07-08T06:50:00Z,BTC,5m,continuous,7 bar(s)
2026-07-08T06:55:00Z,2026-07-08T11:25:00Z,BTC,5m,continuous,54 bar(s)
2026-07-08T12:40:00Z,2026-07-08T14:10:00Z,BTC,5m,continuous,18 bar(s)
2026-07-08T16:00:00Z,2026-07-08T16:55:00Z,BTC,5m,continuous,11 bar(s)
2026-07-08T17:10:00Z,2026-07-08T18:10:00Z,BTC,5m,continuous,12 bar(s)
2026-07-08T18:55:00Z,2026-07-08T19:50:00Z,BTC,5m,continuous,11 bar(s)
